2026-04-01 22:32:58.796 | SCHEDULER | STARTED | port=7000
2026-04-01 22:32:58.801 | SCHEDULER | RUNNING | localPort=7000
2026-04-01 22:33:00.981 | DRONE | STARTED | drone=1 localPort=50225
2026-04-01 22:33:00.989 | DRONE | READY_SENT | drone=1 x=0 y=0 agent=14
2026-04-01 22:33:00.992 | SCHEDULER | MESSAGE_RECEIVED | from=/127.0.0.1:50225 msg=READY,1,0,0,14
2026-04-01 22:33:00.996 | SCHEDULER | DRONE_REGISTERED | drone=1
2026-04-01 22:33:00.998 | SCHEDULER | DRONE_READY_RECEIVED | drone=1 x=0 y=0 agent=14 offline=false
2026-04-01 22:33:01.000 | SCHEDULER | SHUTDOWN_CHECK | noMoreEvents=false workFinished=true allAtBaseIdle=true pendingEvents=0
2026-04-01 22:33:01.001 | SCHEDULER | SHUTDOWN_CHECK_DRONE | drone=1 offline=false state=IDLE x=0 y=0 assignedEvent=null
2026-04-01 22:33:01.002 | SCHEDULER | NO_TASK_SENT | drone=1
2026-04-01 22:33:01.003 | SCHEDULER | MESSAGE_SENT | to=/127.0.0.1:50225 msg=NO_TASK
2026-04-01 22:33:01.004 | DRONE | MESSAGE_RECEIVED | drone=1 msg=NO_TASK
2026-04-01 22:33:01.005 | DRONE | NO_TASK_RECEIVED | drone=1 state=IDLE
2026-04-01 22:33:01.506 | DRONE | READY_SENT | drone=1 x=0 y=0 agent=14
2026-04-01 22:33:01.506 | SCHEDULER | MESSAGE_RECEIVED | from=/127.0.0.1:50225 msg=READY,1,0,0,14
2026-04-01 22:33:01.507 | SCHEDULER | DRONE_READY_RECEIVED | drone=1 x=0 y=0 agent=14 offline=false
2026-04-01 22:33:01.507 | SCHEDULER | SHUTDOWN_CHECK | noMoreEvents=false workFinished=true allAtBaseIdle=true pendingEvents=0
2026-04-01 22:33:01.508 | SCHEDULER | SHUTDOWN_CHECK_DRONE | drone=1 offline=false state=IDLE x=0 y=0 assignedEvent=null
2026-04-01 22:33:01.508 | SCHEDULER | NO_TASK_SENT | drone=1
2026-04-01 22:33:01.509 | SCHEDULER | MESSAGE_SENT | to=/127.0.0.1:50225 msg=NO_TASK
2026-04-01 22:33:01.509 | DRONE | MESSAGE_RECEIVED | drone=1 msg=NO_TASK
2026-04-01 22:33:01.509 | DRONE | NO_TASK_RECEIVED | drone=1 state=IDLE
2026-04-01 22:33:02.011 | SCHEDULER | MESSAGE_RECEIVED | from=/127.0.0.1:50225 msg=READY,1,0,0,14
2026-04-01 22:33:02.011 | SCHEDULER | DRONE_READY_RECEIVED | drone=1 x=0 y=0 agent=14 offline=false
2026-04-01 22:33:02.012 | SCHEDULER | SHUTDOWN_CHECK | noMoreEvents=false workFinished=true allAtBaseIdle=true pendingEvents=0
2026-04-01 22:33:02.012 | SCHEDULER | SHUTDOWN_CHECK_DRONE | drone=1 offline=false state=IDLE x=0 y=0 assignedEvent=null
2026-04-01 22:33:02.013 | SCHEDULER | NO_TASK_SENT | drone=1
2026-04-01 22:33:02.013 | SCHEDULER | MESSAGE_SENT | to=/127.0.0.1:50225 msg=NO_TASK
2026-04-01 22:33:02.013 | DRONE | READY_SENT | drone=1 x=0 y=0 agent=14
2026-04-01 22:33:02.014 | DRONE | MESSAGE_RECEIVED | drone=1 msg=NO_TASK
2026-04-01 22:33:02.014 | DRONE | NO_TASK_RECEIVED | drone=1 state=IDLE
2026-04-01 22:33:02.516 | DRONE | READY_SENT | drone=1 x=0 y=0 agent=14
2026-04-01 22:33:02.516 | SCHEDULER | MESSAGE_RECEIVED | from=/127.0.0.1:50225 msg=READY,1,0,0,14
2026-04-01 22:33:02.517 | SCHEDULER | DRONE_READY_RECEIVED | drone=1 x=0 y=0 agent=14 offline=false
2026-04-01 22:33:02.517 | SCHEDULER | SHUTDOWN_CHECK | noMoreEvents=false workFinished=true allAtBaseIdle=true pendingEvents=0
2026-04-01 22:33:02.518 | SCHEDULER | SHUTDOWN_CHECK_DRONE | drone=1 offline=false state=IDLE x=0 y=0 assignedEvent=null
2026-04-01 22:33:02.519 | SCHEDULER | NO_TASK_SENT | drone=1
2026-04-01 22:33:02.519 | DRONE | MESSAGE_RECEIVED | drone=1 msg=NO_TASK
2026-04-01 22:33:02.520 | DRONE | NO_TASK_RECEIVED | drone=1 state=IDLE
2026-04-01 22:33:02.519 | SCHEDULER | MESSAGE_SENT | to=/127.0.0.1:50225 msg=NO_TASK
2026-04-01 22:33:03.021 | DRONE | READY_SENT | drone=1 x=0 y=0 agent=14
2026-04-01 22:33:03.021 | SCHEDULER | MESSAGE_RECEIVED | from=/127.0.0.1:50225 msg=READY,1,0,0,14
2026-04-01 22:33:03.022 | SCHEDULER | DRONE_READY_RECEIVED | drone=1 x=0 y=0 agent=14 offline=false
2026-04-01 22:33:03.022 | SCHEDULER | SHUTDOWN_CHECK | noMoreEvents=false workFinished=true allAtBaseIdle=true pendingEvents=0
2026-04-01 22:33:03.023 | SCHEDULER | SHUTDOWN_CHECK_DRONE | drone=1 offline=false state=IDLE x=0 y=0 assignedEvent=null
2026-04-01 22:33:03.023 | SCHEDULER | NO_TASK_SENT | drone=1
2026-04-01 22:33:03.024 | SCHEDULER | MESSAGE_SENT | to=/127.0.0.1:50225 msg=NO_TASK
2026-04-01 22:33:03.024 | DRONE | MESSAGE_RECEIVED | drone=1 msg=NO_TASK
2026-04-01 22:33:03.024 | DRONE | NO_TASK_RECEIVED | drone=1 state=IDLE
2026-04-01 22:33:03.141 | DRONE | STARTED | drone=2 localPort=58831
2026-04-01 22:33:03.150 | DRONE | READY_SENT | drone=2 x=0 y=0 agent=14
2026-04-01 22:33:03.150 | SCHEDULER | MESSAGE_RECEIVED | from=/127.0.0.1:58831 msg=READY,2,0,0,14
2026-04-01 22:33:03.153 | SCHEDULER | DRONE_REGISTERED | drone=2
2026-04-01 22:33:03.154 | SCHEDULER | DRONE_READY_RECEIVED | drone=2 x=0 y=0 agent=14 offline=false
2026-04-01 22:33:03.154 | SCHEDULER | SHUTDOWN_CHECK | noMoreEvents=false workFinished=true allAtBaseIdle=true pendingEvents=0
2026-04-01 22:33:03.155 | SCHEDULER | SHUTDOWN_CHECK_DRONE | drone=1 offline=false state=IDLE x=0 y=0 assignedEvent=null
2026-04-01 22:33:03.155 | SCHEDULER | SHUTDOWN_CHECK_DRONE | drone=2 offline=false state=IDLE x=0 y=0 assignedEvent=null
2026-04-01 22:33:03.156 | SCHEDULER | NO_TASK_SENT | drone=2
2026-04-01 22:33:03.156 | SCHEDULER | MESSAGE_SENT | to=/127.0.0.1:58831 msg=NO_TASK
2026-04-01 22:33:03.158 | DRONE | MESSAGE_RECEIVED | drone=2 msg=NO_TASK
2026-04-01 22:33:03.159 | DRONE | NO_TASK_RECEIVED | drone=2 state=IDLE
2026-04-01 22:33:03.527 | DRONE | READY_SENT | drone=1 x=0 y=0 agent=14
2026-04-01 22:33:03.527 | SCHEDULER | MESSAGE_RECEIVED | from=/127.0.0.1:50225 msg=READY,1,0,0,14
2026-04-01 22:33:03.527 | SCHEDULER | DRONE_READY_RECEIVED | drone=1 x=0 y=0 agent=14 offline=false
2026-04-01 22:33:03.528 | SCHEDULER | SHUTDOWN_CHECK | noMoreEvents=false workFinished=true allAtBaseIdle=true pendingEvents=0
2026-04-01 22:33:03.528 | SCHEDULER | SHUTDOWN_CHECK_DRONE | drone=1 offline=false state=IDLE x=0 y=0 assignedEvent=null
2026-04-01 22:33:03.529 | SCHEDULER | SHUTDOWN_CHECK_DRONE | drone=2 offline=false state=IDLE x=0 y=0 assignedEvent=null
2026-04-01 22:33:03.529 | SCHEDULER | NO_TASK_SENT | drone=1
2026-04-01 22:33:03.529 | SCHEDULER | MESSAGE_SENT | to=/127.0.0.1:50225 msg=NO_TASK
2026-04-01 22:33:03.529 | DRONE | MESSAGE_RECEIVED | drone=1 msg=NO_TASK
2026-04-01 22:33:03.530 | DRONE | NO_TASK_RECEIVED | drone=1 state=IDLE
2026-04-01 22:33:03.659 | DRONE | READY_SENT | drone=2 x=0 y=0 agent=14
2026-04-01 22:33:03.659 | SCHEDULER | MESSAGE_RECEIVED | from=/127.0.0.1:58831 msg=READY,2,0,0,14
2026-04-01 22:33:03.659 | SCHEDULER | DRONE_READY_RECEIVED | drone=2 x=0 y=0 agent=14 offline=false
2026-04-01 22:33:03.660 | SCHEDULER | SHUTDOWN_CHECK | noMoreEvents=false workFinished=true allAtBaseIdle=true pendingEvents=0
2026-04-01 22:33:03.660 | SCHEDULER | SHUTDOWN_CHECK_DRONE | drone=1 offline=false state=IDLE x=0 y=0 assignedEvent=null
2026-04-01 22:33:03.660 | SCHEDULER | SHUTDOWN_CHECK_DRONE | drone=2 offline=false state=IDLE x=0 y=0 assignedEvent=null
2026-04-01 22:33:03.661 | SCHEDULER | NO_TASK_SENT | drone=2
2026-04-01 22:33:03.661 | SCHEDULER | MESSAGE_SENT | to=/127.0.0.1:58831 msg=NO_TASK
2026-04-01 22:33:03.661 | DRONE | MESSAGE_RECEIVED | drone=2 msg=NO_TASK
2026-04-01 22:33:03.662 | DRONE | NO_TASK_RECEIVED | drone=2 state=IDLE
2026-04-01 22:33:04.030 | DRONE | READY_SENT | drone=1 x=0 y=0 agent=14
2026-04-01 22:33:04.030 | SCHEDULER | MESSAGE_RECEIVED | from=/127.0.0.1:50225 msg=READY,1,0,0,14
2026-04-01 22:33:04.030 | SCHEDULER | DRONE_READY_RECEIVED | drone=1 x=0 y=0 agent=14 offline=false
2026-04-01 22:33:04.031 | SCHEDULER | SHUTDOWN_CHECK | noMoreEvents=false workFinished=true allAtBaseIdle=true pendingEvents=0
2026-04-01 22:33:04.031 | SCHEDULER | SHUTDOWN_CHECK_DRONE | drone=1 offline=false state=IDLE x=0 y=0 assignedEvent=null
2026-04-01 22:33:04.032 | SCHEDULER | SHUTDOWN_CHECK_DRONE | drone=2 offline=false state=IDLE x=0 y=0 assignedEvent=null
2026-04-01 22:33:04.032 | SCHEDULER | NO_TASK_SENT | drone=1
2026-04-01 22:33:04.033 | DRONE | MESSAGE_RECEIVED | drone=1 msg=NO_TASK
2026-04-01 22:33:04.033 | DRONE | NO_TASK_RECEIVED | drone=1 state=IDLE
2026-04-01 22:33:04.033 | SCHEDULER | MESSAGE_SENT | to=/127.0.0.1:50225 msg=NO_TASK
2026-04-01 22:33:04.163 | DRONE | READY_SENT | drone=2 x=0 y=0 agent=14
2026-04-01 22:33:04.163 | SCHEDULER | MESSAGE_RECEIVED | from=/127.0.0.1:58831 msg=READY,2,0,0,14
2026-04-01 22:33:04.164 | SCHEDULER | DRONE_READY_RECEIVED | drone=2 x=0 y=0 agent=14 offline=false
2026-04-01 22:33:04.164 | SCHEDULER | SHUTDOWN_CHECK | noMoreEvents=false workFinished=true allAtBaseIdle=true pendingEvents=0
2026-04-01 22:33:04.164 | SCHEDULER | SHUTDOWN_CHECK_DRONE | drone=1 offline=false state=IDLE x=0 y=0 assignedEvent=null
2026-04-01 22:33:04.165 | SCHEDULER | SHUTDOWN_CHECK_DRONE | drone=2 offline=false state=IDLE x=0 y=0 assignedEvent=null
2026-04-01 22:33:04.165 | SCHEDULER | NO_TASK_SENT | drone=2
2026-04-01 22:33:04.166 | SCHEDULER | MESSAGE_SENT | to=/127.0.0.1:58831 msg=NO_TASK
2026-04-01 22:33:04.166 | DRONE | MESSAGE_RECEIVED | drone=2 msg=NO_TASK
2026-04-01 22:33:04.166 | DRONE | NO_TASK_RECEIVED | drone=2 state=IDLE
2026-04-01 22:33:04.534 | DRONE | READY_SENT | drone=1 x=0 y=0 agent=14
2026-04-01 22:33:04.534 | SCHEDULER | MESSAGE_RECEIVED | from=/127.0.0.1:50225 msg=READY,1,0,0,14
